,CircuitName,Country,Date,Locality,RaceName,Time,url
0,Albert Park Grand Prix Circuit,Australia,2016-03-20,Melbourne,Australian Grand Prix,05:00:00Z,https://en.wikipedia.org/wiki/2016_Australian_Grand_Prix
1,Bahrain International Circuit,Bahrain,2016-04-03,Sakhir,Bahrain Grand Prix,15:00:00Z,https://en.wikipedia.org/wiki/2016_Bahrain_Grand_Prix
2,Shanghai International Circuit,China,2016-04-17,Shanghai,Chinese Grand Prix,06:00:00Z,https://en.wikipedia.org/wiki/2016_Chinese_Grand_Prix
3,Sochi International Street Circuit,Russia,2016-05-01,Sochi,Russian Grand Prix,12:00:00Z,https://en.wikipedia.org/wiki/2016_Russian_Grand_Prix
4,Circuit de Catalunya,Spain,2016-05-15,Montmeló,Spanish Grand Prix,12:00:00Z,https://en.wikipedia.org/wiki/2016_Spanish_Grand_Prix
5,Circuit de Monaco,Monaco,2016-05-29,Monte-Carlo,Monaco Grand Prix,12:00:00Z,https://en.wikipedia.org/wiki/2016_Monaco_Grand_Prix
6,Circuit Gilles Villeneuve,Canada,2016-06-12,Montreal,Canadian Grand Prix,18:00:00Z,https://en.wikipedia.org/wiki/2016_Canadian_Grand_Prix
7,Baku City Circuit,Azerbaijan,2016-06-19,Baku,European Grand Prix,13:00:03Z,https://en.wikipedia.org/wiki/2016_European_Grand_Prix
8,Red Bull Ring,Austria,2016-07-03,Spielburg,Austrian Grand Prix,12:00:00Z,https://en.wikipedia.org/wiki/2016_Austrian_Grand_Prix
9,Silverstone Circuit,UK,2016-07-10,Silverstone,British Grand Prix,12:00:00Z,https://en.wikipedia.org/wiki/2016_British_Grand_Prix
10,Hungaroring,Hungary,2016-07-24,Budapest,Hungarian Grand Prix,12:00:00Z,https://en.wikipedia.org/wiki/2016_Hungarian_Grand_Prix
11,Hockenheimring,Germany,2016-07-31,Hockenheim,German Grand Prix,12:00:00Z,https://en.wikipedia.org/wiki/2016_German_Grand_Prix
12,Circuit de Spa-Francorchamps,Belgium,2016-08-28,Spa,Belgian Grand Prix,12:00:00Z,https://en.wikipedia.org/wiki/2016_Belgian_Grand_Prix
13,Autodromo Nazionale di Monza,Italy,2016-09-04,Monza,Italian Grand Prix,12:00:00Z,https://en.wikipedia.org/wiki/2016_Italian_Grand_Prix
14,Marina Bay Street Circuit,Singapore,2016-09-18,Marina Bay,Singapore Grand Prix,12:00:00Z,https://en.wikipedia.org/wiki/2016_Singapore_Grand_Prix
15,Sepang International Circuit,Malaysia,2016-10-02,Kuala Lumpur,Malaysian Grand Prix,07:00:00Z,https://en.wikipedia.org/wiki/2016_Malaysian_Grand_Prix
16,Suzuka Circuit,Japan,2016-10-09,Suzuka,Japanese Grand Prix,05:00:00Z,https://en.wikipedia.org/wiki/2016_Japanese_Grand_Prix
17,Circuit of the Americas,USA,2016-10-23,Austin,United States Grand Prix,19:00:00Z,https://en.wikipedia.org/wiki/2016_United_States_Grand_Prix
18,Autódromo Hermanos Rodríguez,Mexico,2016-10-30,Mexico City,Mexican Grand Prix,19:00:00Z,https://en.wikipedia.org/wiki/2016_Mexican_Grand_Prix
19,Autódromo José Carlos Pace,Brazil,2016-11-13,São Paulo,Brazilian Grand Prix,16:00:00Z,https://en.wikipedia.org/wiki/2016_Brazilian_Grand_Prix
20,Yas Marina Circuit,UAE,2016-11-27,Abu Dhabi,Abu Dhabi Grand Prix,13:00:00Z,https://en.wikipedia.org/wiki/2016_Abu_Dhabi_Grand_Prix
